Feature,Model,Score
MH3HEAD,MH3HEAD_0.5_StackingCVClassifier_0.25,0.6543990799309948
BCDIZZY,BCDIZZY_0.5_StackingCVClassifier_0.25,0.8677400805060379
BCANKLE,BCANKLE_0.5_StackingCVClassifier_0.25,0.9016676250718804
DXDEP,DXDEP_0.5_StackingCVClassifier_0.25,0.9234234234234234
MH17MALI,MH17MALI_0.5_StackingCVClassifier_0.25,0.7648073605520413
NXSENSOR,NXSENSOR_0.5_StackingCVClassifier_0.25,0.8673170731707317
BCINSOMN,BCINSOMN_0.5_StackingCVClassifier_0.25,0.8407130534790109
NXVISUAL,NXVISUAL_0.5_StackingCVClassifier_0.25,0.9487804878048779
PTHAND,PTHAND_0.5_StackingCVClassifier_0.25,0.9079457364341084
MH2NEURL,MH2NEURL_0.5_StackingCVClassifier_0.25,0.714203565267395
NXAUDITO,NXAUDITO_0.5_StackingCVClassifier_0.25,0.9058536585365854
BCDROWSY,BCDROWSY_0.5_StackingCVClassifier_0.25,0.8717653824036803
BCURNFRQ,BCURNFRQ_0.5_StackingCVClassifier_0.25,0.7418056354226567
BCSWEATN,BCSWEATN_0.5_StackingCVClassifier_0.25,0.9321449108683152
MOMAD,MOMAD_0.5_StackingCVClassifier_0.25,0.7358171041490262
DADDEM,DADDEM_0.5_StackingCVClassifier_0.25,0.7917888563049853
MH13ALLE,MH13ALLE_0.5_StackingCVClassifier_0.25,0.6129959746981024
NXTREMOR,NXTREMOR_0.5_StackingCVClassifier_0.25,0.8873170731707317
BCENERGY,BCENERGY_0.5_StackingCVClassifier_0.25,0.8085106382978723
BCABDOMN,BCABDOMN_0.5_StackingCVClassifier_0.25,0.9212190914318574
DX_BASE,DX_BASE_0.5_StackingCVClassifier_0.25,0.9995152690256908
MH16SMOK,MH16SMOK_0.5_StackingCVClassifier_0.25,0.6095457159286947
MH10GAST,MH10GAST_0.5_StackingCVClassifier_0.25,0.6532489936745256
MH14ALCH,MH14ALCH_0.5_StackingCVClassifier_0.25,0.9562967222541692
BCBREATH,BCBREATH_0.5_StackingCVClassifier_0.25,0.920069005175388
NXPLANTA,NXPLANTA_0.5_StackingCVClassifier_0.25,0.9798129000492368
DX_FINAL,DX_FINAL_0.5_StackingCVClassifier_0.25,0.8227408142999006
BCCONSTP,BCCONSTP_0.5_StackingCVClassifier_0.25,0.8775158136860265
MH18SURG,MH18SURG_0.5_StackingCVClassifier_0.25,0.7441058079355952
NXNERVE,NXNERVE_0.5_StackingCVClassifier_0.25,0.9536585365853658
MHPSYCH,MHPSYCH_0.5_StackingCVClassifier_0.25,0.7015526164462335
